lat,lon,gemeentenaam,population jan 1 2017,population dec 31 2017
52.997964,6.708645,Aa en Hunze,25286,25390
52.253592,4.752155,Aalsmeer,31373,31499
51.924199,6.565744,Aalten,27047,26962
53.211673,6.137759,Achtkarspelen,27893,27935
51.862677,4.663828,Alblasserdam,20008,20014
51.85154,4.437727,Albrandswaard,25105,25218
52.637398,4.751827,Alkmaar,108373,108470
52.344633,6.659425,Almelo,72479,72629
52.374692,5.246816,Almere,200914,203990
52.129737,4.688924,Alphen aan den Rijn,108915,109682
51.50495,4.879732,Alphen-Chaam,10058,10083
51.771753,4.964647,Altena,54450,54766
53.45024,5.782766,Ameland,3633,3654
52.173752,5.389537,Amersfoort,154337,155226
52.286187,4.852157,Amstelveen,89294,89870
52.373015,4.898557,Amsterdam,844947,854047
52.187221,5.919695,Apeldoorn,160047,161156
53.319262,6.848642,Appingedam,11971,11801
52.001125,5.896409,Arnhem,155699,157223
52.996346,6.552555,Assen,67551,67708
51.392311,5.779102,Asten,16714,16719
51.435437,4.911797,Baarle-Nassau,6657,6799
52.206015,5.271438,Baarn,24529,24630
51.849735,4.525401,Barendrecht,48344,48477
52.168802,5.639852,Barneveld,56376,57339
50.932372,5.805867,Beek,15951,15895
50.942889,5.886611,Beekdaelen,36124,35969
52.558949,4.917952,Beemster,9205,9550
51.270161,6.067705,Beesel,13405,13444
51.783333,5.933333,Berg en Dal,34764,34748
51.301817,5.339462,Bergeijk,18342,18398
51.577167,6.090145,Bergen (L.),13095,13106
52.657833,4.676104,Bergen (NH.),29844,29941
51.50451,4.291081,Bergen op Zoom,66164,66354
52.105555,6.576169,Berkelland,44238,44032
51.684025,5.519367,Bernheze,30252,30550
51.5,5.383333,Best,29180,29497
51.859498,5.743623,Beuningen,25424,25798
52.488567,4.648004,Beverwijk,40709,41077
51.370134,5.242834,Bladel,20063,20144
52.28548,5.268299,Blaricum,10201,10795
52.362295,4.589684,Bloemendaal,22826,23208
52.060847,4.766569,Bodegraven-Reeuwijk,33733,33948
51.604895,5.69357,Boekel,10414,10502
52.905007,6.880421,Borger-Odoorn,25355,25351
52.311202,6.744039,Borne,22795,23124
51.441906,3.811268,Borsele,22688,22716
51.633333,5.95,Boxmeer,28709,28853
51.584716,5.326539,Boxtel,30655,30672
51.577904,4.760387,Breda,182304,183448
51.888187,4.184806,Brielle,16833,17040
52.056476,6.295099,Bronckhorst,36410,36352
52.110634,6.117909,Brummen,20843,20771
50.944511,5.976184,Brunssum,28358,28241
52.042276,5.216644,Bunnik,15156,15214
52.242487,5.358365,Bunschoten,21020,21266
51.944297,5.414289,Buren,26348,26365
51.937929,4.578969,Capelle aan den IJssel,66421,66854
52.555774,4.689445,Castricum,35216,35608
52.743437,6.724871,Coevorden,35286,35299
51.288117,5.599764,Cranendonck,20676,20336
51.717386,5.857726,Cuijk,24696,24911
51.944652,5.209456,Culemborg,27864,28195
52.524614,6.272139,Dalfsen,28070,28242
53.274259,5.985454,Dantumadiel,18942,18904
52.141367,5.168281,De Bilt,42754,42846
52.966667,5.783333,De Fryske Marren,51585,51742
52.23013,4.926744,De Ronde Venen,42763,43620
52.693366,6.369423,De Wolden,23744,23917
51.999677,4.364052,Delft,101381,102253
53.300194,6.931293,Delfzijl,24965,24863
52.923657,4.75793,Den Helder,56020,55760
51.437014,5.822449,Deurne,31933,32137
52.269266,6.237946,Deventer,99295,99653
52.339032,4.98623,Diemen,27272,28121
52.364774,6.915223,Dinkelland,26244,26291
52.019345,6.148554,Doesburg,11341,11328
51.962161,6.279554,Doetinchem,57068,57382
51.637539,4.953611,Dongen,25509,25777
51.799015,4.741591,Dordrecht,118731,118426
52.664629,5.167441,Drechterland,19384,19440
51.695075,4.754146,Drimmelen,26869,27063
52.5,5.716667,Dronten,40746,40735
51.871836,5.613225,Druten,18563,18701
51.947395,6.017203,Duiven,25398,25438
51.088397,5.908577,Echt-Susteren,31815,31751
52.503725,5.042886,Edam-Volendam,35800,35953
52.081177,5.7449,Ede,113421,114682
52.252528,5.28391,Eemnes,8999,9112
51.395794,5.319558,Eersel,18554,18778
50.806102,5.771847,Eijsden-Margraten,25297,25566
51.450371,5.452785,Eindhoven,226868,229126
52.414867,5.848679,Elburg,23026,23107
52.752427,6.959378,Emmen,107490,107192
52.716526,5.276148,Enkhuizen,18479,18476
52.219089,6.880406,Enschede,158140,158261
52.333944,5.961752,Epe,32537,32863
52.288264,5.655384,Ermelo,26590,26793
51.577106,4.642526,Etten-Leur,43027,43532
51.696336,4.878363,Geertruidenberg,21504,21517
51.432501,5.585471,Geldrop-Mierlo,39078,39252
51.540134,5.751974,Gemert-Bakel,30024,30340
51.700631,5.984469,Gennep,17129,17052
51.556563,4.912533,Gilze en Rijen,26220,26313
51.753513,4.11264,Goeree-Overflakkee,48653,49129
51.514999,3.839492,Goes,37274,37636
51.508746,5.033813,Goirle,23317,23554
52.2833,5.1667,Gooise Meren,56935,57337
51.838734,4.977125,Gorinchem,35755,36284
52.019175,4.707902,Gouda,71752,72700
51.739702,5.743658,Grave,12370,12419
53.223685,6.564786,Groningen,229494,229962
50.798077,5.901505,Gulpen-Wittem,14337,14196
52.155137,6.754036,Haaksbergen,24272,24291
51.618306,5.22779,Haaren,13912,14103
52.380745,4.644004,Haarlem,159229,159709
52.306226,4.684176,Haarlemmermeer,151668,153149
51.588058,4.520299,Halderberge,29579,29888
52.593116,6.534761,Hardenberg,60211,60539
52.3454,5.639483,Harderwijk,46352,46832
51.825935,4.86428,Hardinxveld-Giessendam,17872,17958
53.176434,5.449131,Harlingen,15860,15783
52.475661,6.051952,Hattem,12040,12154
52.514423,4.652324,Heemskerk,39171,39146
52.346067,4.615695,Heemstede,26936,27080
52.404672,6.044163,Heerde,18561,18603
52.942203,6.044099,Heerenveen,50203,50192
52.682102,4.843631,Heerhugowaard,54950,55850
50.887775,5.974065,Heerlen,87189,86762
51.361453,5.567545,Heeze-Leende,15714,15886
52.601223,4.709446,Heiloo,22857,23099
52.390223,6.464343,Hellendoorn,35772,35796
51.837634,4.125475,Hellevoetsluis,38722,38784
51.479679,5.655588,Helmond,90602,90903
51.842725,4.639746,Hendrik-Ido-Ambacht,29731,30677
52.259101,6.778756,Hengelo,80802,80593
53.413611,6.527306,Het Hogeland,49819,49646
51.774383,5.813119,Heumen,16475,16462
51.699752,5.165984,Heusden,43516,43723
52.296159,4.578224,Hillegom,21316,21812
51.477719,5.147782,Hilvarenbeek,15283,15366
52.222521,5.167891,Hilversum,88888,89521
51.773806,4.457,Hoeksche Waard,85678,86115
52.225853,6.584647,Hof van Twente,35011,34930
52.829333,4.948945,Hollands Kroon,47600,47681
52.718204,6.518026,Hoogeveen,55311,55677
52.653371,5.065343,Hoorn,72493,72806
51.452342,6.032065,Horst aan de Maas,42139,42271
51.999317,5.189702,Houten,49300,49579
52.296638,5.241316,Huizen,41382,41369
51.318973,4.086905,Hulst,27395,27472
52.02912,5.028676,IJsselstein,34208,34302
52.189631,4.633253,Kaag en Braassem,26374,26625
52.561814,5.915354,Kampen,52511,53259
51.482231,3.965237,Kapelle,12622,12720
52.190288,4.421288,Katwijk,64532,64956
50.873374,6.048759,Kerkrade,45937,45823
52.639613,4.951756,Koggenland,22522,22659
51.914922,4.598776,Krimpen aan den IJssel,29123,29306
51.983333,4.783333,Krimpenerwaard,55204,55644
51.531179,5.612496,Laarbeek,21942,22158
51.715617,5.659534,Landerd,15332,15332
50.906518,6.039527,Landgraaf,37458,37612
52.451713,4.923949,Landsmeer,11275,11435
52.691512,4.786589,Langedijk,27608,27836
52.002795,4.507084,Lansingerland,60105,61155
52.245184,5.217013,Laren,11088,11146
53.186022,5.811114,Leeuwarden,118775,119021
52.152742,4.483599,Leiden,123661,124306
52.156402,4.541707,Leiderdorp,27128,27197
52.087003,4.416108,Leidschendam-Voorburg,74604,74947
52.475423,5.438113,Lelystad,76937,77389
51.232587,5.876716,Leudal,35878,35857
52.124184,5.412453,Leusden,29677,29755
51.905049,5.951687,Lingewaard,46182,46372
52.256014,4.545264,Lisse,22717,22746
52.184781,6.336997,Lochem,33545,33574
51.637825,5.048596,Loon op Zand,23093,23120
51.989911,4.948512,Lopik,14208,14395
53.338486,6.721492,Loppersum,9914,9732
52.298191,7.001064,Losser,22482,22547
51.77337,5.297112,Maasdriel,24250,24350
51.162808,5.89059,Maasgouw,23774,23697
51.923319,4.247218,Maassluis,32450,32518
50.852834,5.701642,Maastricht,122753,122723
52.72496,5.122045,Medemblik,44058,44480
50.895177,5.757105,Meerssen,19072,19039
51.583333,5.483333,Meierijstad,79869,80148
52.708851,6.197271,Meppel,33025,33410
51.497193,3.654591,Middelburg,48019,48303
51.968023,4.316806,Midden-Delfland,19034,19338
52.865222,6.527267,Midden-Drenthe,33399,33172
53.184722,6.811111,Midden-Groningen,61131,60953
51.687123,5.770773,Mill en Sint Hubert,10807,10831
51.653885,4.528749,Moerdijk,36944,36967
51.894694,4.859694,Molenlanden,43808,43846
51.91643,6.207672,Montferland,35316,35627
52.047668,4.948436,Montfoort,13866,13879
51.748158,5.902079,Mook en Middelaar,7775,7768
51.921755,5.574954,Neder-Betuwe,23303,23615
51.288129,5.771568,Nederweert,16864,17038
52.028431,5.095389,Nieuwegein,61868,62426
52.171984,4.780065,Nieuwkoop,27914,28269
52.212534,5.509168,Nijkerk,41775,42307
