,municipality_name1,municipality_name2,decade,add_pipeline_cap,current_pipeline_cap
0,s-Gravenhage,Zoetermeer,0,0.0,0.0
1,s-Gravenhage,Westland,0,31050.11,31050.11
2,s-Gravenhage,Wassenaar,0,6.6934735e-12,6.6934735e-12
3,s-Gravenhage,Rijswijk,0,0.0,0.0
4,s-Gravenhage,Pijnacker-Nootdorp,0,0.0,0.0
5,s-Gravenhage,Leidschendam-Voorburg,0,-6.459202e-12,-6.459202e-12
6,s-Gravenhage,Delft,0,0.0,0.0
7,Zwolle,Kampen,0,0.0,0.0
8,Zwijndrecht,Ridderkerk,0,6.3058377e-14,6.3058377e-14
9,Zwijndrecht,Papendrecht,0,0.0,0.0
10,Zwijndrecht,Hendrik-Ido-Ambacht,0,0.0,0.0
11,Zwijndrecht,Dordrecht,0,351.73602,351.73602
12,Zwijndrecht,Barendrecht,0,339.42526,339.42526
13,Zutphen,Brummen,0,0.0,0.0
14,Zuidplas,Waddinxveen,0,0.0,0.0
15,Zuidplas,Rotterdam,0,0.0,0.0
16,Zuidplas,Lansingerland,0,0.0,0.0
17,Zuidplas,Gouda,0,5100.0,5100.0
18,Zuidplas,Capelle aan den IJssel,0,4921.5,4921.5
19,Zuidplas,Alphen aan den Rijn,0,0.0,0.0
20,Zoetermeer,s-Gravenhage,0,0.0,0.0
21,Zoetermeer,Pijnacker-Nootdorp,0,1696.933,1696.933
22,Zoetermeer,Leidschendam-Voorburg,0,0.0,0.0
23,Zoetermeer,Lansingerland,0,1080.9294,1080.9294
24,Zoetermeer,Alphen aan den Rijn,0,0.0,0.0
25,Zevenaar,Westervoort,0,0.0,0.0
26,Zevenaar,Rheden,0,506.49633,506.49633
27,Zevenaar,Lingewaard,0,0.0,0.0
28,Zevenaar,Duiven,0,5.5774901,5.5774901
29,Zevenaar,Doetinchem,0,0.0,0.0
30,Zevenaar,Doesburg,0,0.0,0.0
31,Zeist,Utrecht,0,0.0,0.0
32,Zeist,Soest,0,0.0,0.0
